bmi,steps_per_day,daily_calories,risk_score,high_risk
26.50229263305664,7572.47021484375,2014.8743896484375,62.796451568603516,1
25.27688980102539,6508.63720703125,1728.4500732421875,61.935787200927734,1
16.176427841186523,3997.751708984375,2276.37451171875,40.86671829223633,0
32.03361892700195,6555.74169921875,2066.505859375,80.72772216796875,1
24.612340927124023,6963.828125,1617.2276611328125,58.48797607421875,1
20.934337615966797,7145.42919921875,3005.67919921875,55.85629653930664,1
28.942333221435547,8334.9619140625,2188.694091796875,68.81755065917969,1
24.926374435424805,12668.3779296875,2214.6337890625,51.2911262512207,0
16.90597152709961,10777.18359375,1203.6748046875,28.83716583251953,0
20.002979278564453,3801.074462890625,1655.9031982421875,56.284297943115234,1
24.756271362304688,9164.26953125,1845.28125,58.021846771240234,1
27.39780616760254,8390.2353515625,1359.865234375,62.78896713256836,1
26.544713973999023,7681.72021484375,2561.05712890625,68.1742172241211,1
27.993425369262695,15069.435546875,2665.528076171875,55.944305419921875,1
24.618574142456055,10652.0595703125,1469.0548095703125,45.396392822265625,0
36.81470489501953,5922.70947265625,2734.740966796875,90.10273742675781,1
34.37730026245117,10677.4599609375,2460.87353515625,78.31678009033203,1
23.592662811279297,3932.764404296875,2280.681396484375,65.87834930419922,1
23.970487594604492,4574.021484375,2385.59521484375,61.87480926513672,1
24.700780868530273,8196.240234375,2311.673828125,58.92726516723633,1
29.0120906829834,7989.98388671875,2491.16796875,71.21385955810547,1
32.60993576049805,7491.3837890625,2115.733642578125,79.71607208251953,1
20.45427703857422,7674.791015625,2184.614501953125,48.6416130065918,0
25.450077056884766,9402.0751953125,1830.2696533203125,52.76628875732422,0
28.615007400512695,2656.647705078125,2194.955078125,78.2103500366211,1
24.843685150146484,12185.66015625,2666.58740234375,56.82987594604492,1
15.0,13151.9052734375,2275.16455078125,23.360179901123047,0
22.430253982543945,4135.83349609375,2822.25146484375,63.295928955078125,1
34.697364807128906,9487.3291015625,1713.262451171875,81.19380950927734,1
29.99517059326172,12453.041015625,2150.0478515625,68.0196762084961,1
15.0,9096.7392578125,2149.35107421875,28.606292724609375,0
21.090065002441406,4649.69921875,1890.0150146484375,49.84121322631836,0
15.817654609680176,10875.806640625,2144.42041015625,29.010908126831055,0
28.159534454345703,6126.85205078125,1957.129150390625,72.80718231201172,1
16.64885711669922,7295.08349609375,1887.1680908203125,34.78904342651367,0
25.95586395263672,8643.673828125,1449.7532958984375,57.74643325805664,1
28.18486976623535,2992.145751953125,2572.523193359375,80.17234802246094,1
32.6132926940918,5925.611328125,2841.250244140625,85.30028533935547,1
15.02408504486084,10889.193359375,2105.153076171875,32.010032653808594,0
26.859291076660156,7109.65966796875,2904.358154296875,66.02437591552734,1
22.239599227905273,8356.6181640625,2294.535400390625,49.17176818847656,0
20.595643997192383,6220.11376953125,2737.242431640625,51.32078552246094,0
19.62721061706543,2034.8980712890625,1531.463134765625,54.26097869873047,0
15.0,11438.6455078125,1200.0,21.557514190673828,0
22.77366065979004,7988.91064453125,2461.25341796875,52.20270919799805,0
22.21214485168457,8150.51318359375,2224.990234375,51.1283073425293,0
23.866565704345703,12718.1357421875,2248.1005859375,48.91267013549805,0
25.448448181152344,10362.9521484375,1718.5726318359375,55.767574310302734,1
36.25102996826172,7568.5078125,2715.318359375,87.47441864013672,1
26.036325454711914,7056.83447265625,2169.090576171875,63.24555587768555,1
23.485841751098633,9354.4130859375,2106.6767578125,50.49394607543945,0
16.986309051513672,5896.49365234375,2121.04443359375,38.497920989990234,0
25.564895629882812,6760.66796875,1889.9866943359375,66.49674224853516,1
38.0897102355957,11054.74609375,1200.0,84.36454010009766,1
29.142274856567383,7941.2626953125,2109.88818359375,71.02196502685547,1
27.817228317260742,8008.10791015625,1674.096435546875,68.18775939941406,1
23.598878860473633,3632.509033203125,2182.275390625,63.68429183959961,1
30.84817886352539,7777.65283203125,2828.29931640625,77.11601257324219,1
24.670921325683594,11762.744140625,2139.580322265625,51.33086395263672,0
27.49030113220215,5750.62744140625,2837.6923828125,73.48824310302734,1
37.898521423339844,5265.50732421875,1247.6365966796875,88.00617980957031,1
